Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Black Diamond,2021-05-08 01:00:00,302,18.0,61.0
Black Diamond,2021-05-08 02:00:00,311,16.0,60.0
Black Diamond,2021-05-08 03:00:00,316,18.0,59.0
Black Diamond,2021-05-08 04:00:00,319,18.0,60.0
Black Diamond,2021-05-08 05:00:00,320,23.0,59.0
Black Diamond,2021-05-08 06:00:00,333,17.0,62.0
Black Diamond,2021-05-08 07:00:00,334,16.0,65.0
Black Diamond,2021-05-08 08:00:00,335,14.0,67.0
Black Diamond,2021-05-08 09:00:00,21,20.0,72.0
Black Diamond,2021-05-08 10:00:00,4,18.0,76.0
Black Diamond,2021-05-08 11:00:00,326,16.0,77.0
Black Diamond,2021-05-08 12:00:00,350,17.0,80.0
Black Diamond,2021-05-08 13:00:00,356,18.0,82.0
Black Diamond,2021-05-08 14:00:00,5,17.0,84.0
Black Diamond,2021-05-08 15:00:00,322,19.0,84.0
Black Diamond,2021-05-08 16:00:00,319,24.0,83.0
Black Diamond,2021-05-08 17:00:00,323,20.0,81.0
Black Diamond,2021-05-08 18:00:00,283,23.0,76.0
Black Diamond,2021-05-08 19:00:00,276,22.0,71.0
Black Diamond,2021-05-08 20:00:00,258,21.0,70.0
Black Diamond,2021-05-08 21:00:00,257,14.0,69.0
Black Diamond,2021-05-08 22:00:00,259,18.0,65.0
Black Diamond,2021-05-08 23:00:00,272,22.0,67.0
Black Diamond,2021-05-08 00:00:00,294,22.0,67.0
Black Diamond,2021-05-07 01:00:00,269,26.0,53.0
Black Diamond,2021-05-07 02:00:00,271,29.0,52.0
Black Diamond,2021-05-07 03:00:00,255,28.0,50.0
Black Diamond,2021-05-07 04:00:00,260,23.0,49.0
Black Diamond,2021-05-07 05:00:00,266,25.0,49.0
Black Diamond,2021-05-07 06:00:00,261,23.0,49.0
Black Diamond,2021-05-07 07:00:00,271,25.0,50.0
Black Diamond,2021-05-07 08:00:00,273,21.0,53.0
Black Diamond,2021-05-07 09:00:00,271,22.0,56.0
Black Diamond,2021-05-07 10:00:00,272,21.0,59.0
Black Diamond,2021-05-07 11:00:00,305,19.0,66.0
Black Diamond,2021-05-07 12:00:00,298,16.0,68.0
Black Diamond,2021-05-07 13:00:00,288,17.0,71.0
Black Diamond,2021-05-07 14:00:00,283,20.0,71.0
Black Diamond,2021-05-07 15:00:00,282,20.0,71.0
Black Diamond,2021-05-07 16:00:00,276,24.0,69.0
Black Diamond,2021-05-07 17:00:00,271,24.0,67.0
Black Diamond,2021-05-07 18:00:00,252,21.0,65.0
Black Diamond,2021-05-07 19:00:00,263,15.0,62.0
Black Diamond,2021-05-07 20:00:00,254,14.0,61.0
Black Diamond,2021-05-07 21:00:00,256,14.0,60.0
Black Diamond,2021-05-07 22:00:00,261,16.0,59.0
Black Diamond,2021-05-07 23:00:00,308,18.0,63.0
Black Diamond,2021-05-07 00:00:00,298,17.0,62.0
Black Diamond,2021-05-06 01:00:00,266,24.0,56.0
Black Diamond,2021-05-06 02:00:00,266,26.0,57.0
