Station Name,Datetime,Total_Solar_Rad,Wind_Avg_mph,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg,Fuel_Temp_Avg,Fuel_Moist_Per
Briones,2021-05-02 01:00:00,0.0,11.0,227,17.0,50.0,75.0,42.0
Briones,2021-05-02 02:00:00,0.0,8.0,235,20.0,50.0,73.0,42.0
Briones,2021-05-02 03:00:00,0.0,8.0,240,16.0,52.0,66.0,41.0
Briones,2021-05-02 04:00:00,0.0,8.0,235,16.0,51.0,67.0,40.0
Briones,2021-05-02 05:00:00,0.3,10.0,232,17.0,51.0,64.0,39.0
Briones,2021-05-02 06:00:00,7.1,8.0,236,20.0,53.0,63.0,41.0
Briones,2021-05-02 07:00:00,25.4,11.0,226,22.0,55.0,57.0,40.0
Briones,2021-05-02 08:00:00,44.0,4.0,246,18.0,62.0,49.0,43.0
Briones,2021-05-02 09:00:00,60.3,4.0,240,12.0,67.0,43.0,44.0
Briones,2021-05-02 10:00:00,73.5,4.0,279,14.0,74.0,31.0,41.0
Briones,2021-05-02 11:00:00,82.2,6.0,241,16.0,73.0,33.0,42.0
Briones,2021-05-02 12:00:00,85.4,2.0,281,16.0,78.0,28.0,42.0
Briones,2021-05-02 13:00:00,83.7,9.0,232,16.0,75.0,31.0,42.0
Briones,2021-05-02 14:00:00,76.5,10.0,228,23.0,75.0,32.0,43.0
Briones,2021-05-02 15:00:00,64.4,12.0,230,24.0,74.0,35.0,45.0
Briones,2021-05-02 16:00:00,49.1,12.0,229,23.0,72.0,34.0,42.0
Briones,2021-05-02 17:00:00,31.2,14.0,228,24.0,68.0,37.0,41.0
Briones,2021-05-02 18:00:00,3.2,14.0,226,23.0,65.0,45.0,43.0
Briones,2021-05-02 19:00:00,0.7,9.0,236,23.0,62.0,50.0,43.0
Briones,2021-05-02 20:00:00,0.0,5.0,242,20.0,61.0,53.0,44.0
Briones,2021-05-02 21:00:00,0.0,6.0,237,13.0,59.0,57.0,44.0
Briones,2021-05-02 22:00:00,0.0,5.0,238,14.0,59.0,57.0,44.0
Briones,2021-05-02 23:00:00,0.0,3.0,251,9.0,57.0,60.0,43.0
Briones,2021-05-02 00:00:00,0.0,3.0,244,10.0,57.0,59.0,43.0
Briones,2021-05-01 01:00:00,0.0,15.0,223,24.0,47.0,100.0,47.0
Briones,2021-05-01 02:00:00,0.0,14.0,227,26.0,46.0,100.0,46.0
Briones,2021-05-01 03:00:00,0.0,10.0,225,20.0,47.0,100.0,47.0
Briones,2021-05-01 04:00:00,0.0,12.0,222,19.0,47.0,95.0,46.0
Briones,2021-05-01 05:00:00,0.3,12.0,223,18.0,49.0,93.0,47.0
Briones,2021-05-01 06:00:00,6.7,11.0,222,17.0,53.0,87.0,49.0
Briones,2021-05-01 07:00:00,24.4,5.0,220,18.0,59.0,74.0,51.0
Briones,2021-05-01 08:00:00,43.1,9.0,229,15.0,63.0,65.0,51.0
Briones,2021-05-01 09:00:00,59.7,10.0,227,18.0,67.0,53.0,49.0
Briones,2021-05-01 10:00:00,73.7,12.0,227,21.0,65.0,57.0,49.0
Briones,2021-05-01 11:00:00,83.5,11.0,231,25.0,67.0,49.0,47.0
Briones,2021-05-01 12:00:00,86.9,14.0,229,25.0,68.0,51.0,49.0
Briones,2021-05-01 13:00:00,85.2,10.0,230,23.0,67.0,49.0,47.0
Briones,2021-05-01 14:00:00,78.3,10.0,222,25.0,67.0,52.0,49.0
Briones,2021-05-01 15:00:00,66.1,11.0,222,21.0,65.0,57.0,49.0
Briones,2021-05-01 16:00:00,50.1,11.0,224,24.0,63.0,54.0,46.0
Briones,2021-05-01 17:00:00,31.7,15.0,224,23.0,60.0,62.0,47.0
Briones,2021-05-01 18:00:00,3.4,11.0,221,22.0,53.0,81.0,47.0
Briones,2021-05-01 19:00:00,0.8,13.0,222,19.0,51.0,86.0,47.0
Briones,2021-05-01 20:00:00,0.0,12.0,226,23.0,52.0,81.0,46.0
Briones,2021-05-01 21:00:00,0.0,9.0,225,21.0,50.0,82.0,45.0
Briones,2021-05-01 22:00:00,0.0,13.0,226,21.0,50.0,80.0,44.0
Briones,2021-05-01 23:00:00,0.0,10.0,229,22.0,50.0,79.0,44.0
Briones,2021-05-01 00:00:00,0.0,13.0,225,19.0,49.0,81.0,43.0
Oakland North,2021-05-02 01:00:00,0.3,4.0,226,13.0,49.0,46.0,17.8
Oakland North,2021-05-02 02:00:00,0.3,4.0,250,13.0,49.0,46.0,18.6
Oakland North,2021-05-02 03:00:00,0.3,6.0,282,16.0,51.0,48.0,18.1
Oakland North,2021-05-02 04:00:00,0.3,7.0,289,20.0,53.0,50.0,17.0
Oakland North,2021-05-02 05:00:00,0.3,8.0,297,16.0,52.0,48.0,16.8
Oakland North,2021-05-02 06:00:00,0.9,7.0,290,18.0,52.0,49.0,16.0
Oakland North,2021-05-02 07:00:00,12.6,10.0,309,17.0,55.0,57.0,15.3
Oakland North,2021-05-02 08:00:00,29.6,7.0,302,20.0,56.0,62.0,13.3
Oakland North,2021-05-02 09:00:00,46.0,6.0,217,13.0,60.0,71.0,12.5
Oakland North,2021-05-02 10:00:00,60.2,6.0,216,10.0,63.0,76.0,10.6
Oakland North,2021-05-02 11:00:00,71.4,5.0,210,11.0,68.0,84.0,9.9
Oakland North,2021-05-02 12:00:00,78.2,6.0,219,12.0,71.0,88.0,9.4
Oakland North,2021-05-02 13:00:00,80.1,8.0,204,14.0,72.0,88.0,8.6
Oakland North,2021-05-02 14:00:00,76.8,8.0,218,16.0,73.0,89.0,8.3
Oakland North,2021-05-02 15:00:00,69.1,5.0,229,13.0,74.0,89.0,7.9
Oakland North,2021-05-02 16:00:00,56.8,6.0,231,13.0,73.0,85.0,7.7
Oakland North,2021-05-02 17:00:00,36.9,4.0,248,11.0,70.0,76.0,7.5
Oakland North,2021-05-02 18:00:00,15.4,5.0,243,10.0,66.0,66.0,7.5
Oakland North,2021-05-02 19:00:00,3.3,5.0,268,10.0,62.0,60.0,7.6
Oakland North,2021-05-02 20:00:00,0.7,4.0,256,7.0,59.0,56.0,7.7
Oakland North,2021-05-02 21:00:00,0.3,5.0,285,12.0,59.0,55.0,8.0
Oakland North,2021-05-02 22:00:00,0.3,5.0,283,17.0,60.0,56.0,8.4
Oakland North,2021-05-02 23:00:00,0.3,4.0,271,12.0,58.0,54.0,8.8
Oakland North,2021-05-02 00:00:00,0.3,7.0,313,11.0,60.0,55.0,9.2
Oakland North,2021-05-01 01:00:00,0.3,14.0,207,20.0,47.0,47.0,18.6
Oakland North,2021-05-01 02:00:00,0.3,12.0,209,20.0,47.0,47.0,19.9
Oakland North,2021-05-01 03:00:00,0.3,13.0,201,19.0,46.0,47.0,21.2
Oakland North,2021-05-01 04:00:00,0.3,10.0,206,18.0,47.0,47.0,22.3
Oakland North,2021-05-01 05:00:00,0.3,10.0,210,17.0,47.0,46.0,23.3
Oakland North,2021-05-01 06:00:00,0.6,9.0,203,18.0,47.0,46.0,23.9
Oakland North,2021-05-01 07:00:00,6.7,8.0,201,15.0,48.0,50.0,24.6
Oakland North,2021-05-01 08:00:00,18.3,9.0,194,14.0,49.0,53.0,23.8
Oakland North,2021-05-01 09:00:00,29.4,7.0,194,13.0,52.0,58.0,23.8
Oakland North,2021-05-01 10:00:00,47.7,10.0,195,14.0,55.0,68.0,19.3
Oakland North,2021-05-01 11:00:00,71.9,11.0,211,15.0,59.0,75.0,14.8
Oakland North,2021-05-01 12:00:00,78.9,10.0,198,16.0,65.0,81.0,11.9
Oakland North,2021-05-01 13:00:00,80.2,11.0,190,19.0,64.0,80.0,10.8
Oakland North,2021-05-01 14:00:00,71.4,10.0,190,17.0,63.0,77.0,10.5
Oakland North,2021-05-01 15:00:00,66.2,13.0,208,20.0,61.0,74.0,9.9
Oakland North,2021-05-01 16:00:00,48.8,13.0,200,18.0,59.0,70.0,10.1
Oakland North,2021-05-01 17:00:00,39.7,13.0,213,18.0,57.0,64.0,9.8
Oakland North,2021-05-01 18:00:00,15.2,12.0,206,19.0,54.0,55.0,10.2
Oakland North,2021-05-01 19:00:00,3.3,12.0,199,15.0,51.0,50.0,10.9
